883 = Verdict: Unsolved ; Iters: 379072 ; Length: -1
1012 = Verdict: Solved ; Iters: 289440 ; Length: 109
2508 = Verdict: Solved ; Iters: 25794 ; Length: 112
5055 = Verdict: Solved ; Iters: 6418 ; Length: 109
5814 = Verdict: Solved ; Iters: 282131 ; Length: 115
11747 = Verdict: Unsolved ; Iters: 413374 ; Length: -1
18026 = Verdict: Solved ; Iters: 5797 ; Length: 110
19023 = Verdict: Unsolved ; Iters: 1268150 ; Length: -1
27962 = Verdict: Unsolved ; Iters: 1276950 ; Length: -1
31975 = Verdict: Unsolved ; Iters: 32174 ; Length: -1
58844 = Verdict: Unsolved ; Iters: 699780 ; Length: -1
78703 = Verdict: Solved ; Iters: 4953 ; Length: 114
87101 = Verdict: Solved ; Iters: 375040 ; Length: 137
96924 = Verdict: Unsolved ; Iters: 2641205 ; Length: -1
98455 = Verdict: Solved ; Iters: 2449 ; Length: 106
99673 = Verdict: Unsolved ; Iters: 1389374 ; Length: -1
103173 = Verdict: Solved ; Iters: 80241 ; Length: 105
107581 = Verdict: Unsolved ; Iters: 1379621 ; Length: -1
144178 = Verdict: Unsolved ; Iters: 106474 ; Length: -1
144561 = Verdict: Unsolved ; Iters: 1081166 ; Length: -1
153421 = Verdict: Unsolved ; Iters: 3010302 ; Length: -1
167005 = Verdict: Unsolved ; Iters: 2076126 ; Length: -1
173480 = Verdict: Solved ; Iters: 6299 ; Length: 120
195414 = Verdict: Unsolved ; Iters: 6389327 ; Length: -1
223280 = Verdict: Solved ; Iters: 886383 ; Length: 106
226074 = Verdict: Unsolved ; Iters: 143526 ; Length: -1
227592 = Verdict: Unsolved ; Iters: 894734 ; Length: -1
232765 = Verdict: Unsolved ; Iters: 375546 ; Length: -1
241217 = Verdict: Unsolved ; Iters: 3137910 ; Length: -1
243138 = Verdict: Unsolved ; Iters: 396107 ; Length: -1
248883 = Verdict: Solved ; Iters: 6773 ; Length: 116
255107 = Verdict: Unsolved ; Iters: 3637431 ; Length: -1
268928 = Verdict: Unsolved ; Iters: 574258 ; Length: -1
271431 = Verdict: Unsolved ; Iters: 1148445 ; Length: -1
278558 = Verdict: Solved ; Iters: 42722 ; Length: 117
286334 = Verdict: Solved ; Iters: 193297 ; Length: 105
287476 = Verdict: Unsolved ; Iters: 553598 ; Length: -1
301794 = Verdict: Unsolved ; Iters: 7045874 ; Length: -1
323946 = Verdict: Solved ; Iters: 786763 ; Length: 112
330393 = Verdict: Solved ; Iters: 141353 ; Length: 108
337098 = Verdict: Unsolved ; Iters: 1340379 ; Length: -1
341852 = Verdict: Unsolved ; Iters: 662042 ; Length: -1
343035 = Verdict: Unsolved ; Iters: 223058 ; Length: -1
344730 = Verdict: Unsolved ; Iters: 1150302 ; Length: -1
376826 = Verdict: Unsolved ; Iters: 11852547 ; Length: -1
382274 = Verdict: Unsolved ; Iters: 3264252 ; Length: -1
390676 = Verdict: Unsolved ; Iters: 867189 ; Length: -1
395705 = Verdict: Unsolved ; Iters: 2304990 ; Length: -1
